,ci_test_results,z_test_results,z_test_p_values,t_test_p_values,mean_diff
TMCC1,False,False,0.17935507499860204,0.17966038459604347,3.452347771199996
RANBP3,True,True,6.291171861808308e-05,6.756425490772688e-05,6.473980969000003
GABRG3,False,False,0.7046034681030153,0.7046841117692383,0.7634070435804294
ARRDC5,True,True,0.015753972511369136,0.015932983431862037,3.334423707060001
LRP3,False,False,0.09176777808196993,0.09208033794580425,2.7254653817396006
TIMM23,False,False,0.6305279322950621,0.6306333607237808,1.0747616329999943
TBPL1,False,False,0.05085094485699335,0.051130175729337785,3.376623317999993
BIRC8,False,False,0.3847092487643954,0.38491824883132875,1.323908575604734
TTC28,False,False,0.8339745896134325,0.8340173687212435,0.1595614689999998
C19orf66,True,True,3.3561610236534403e-10,5.002602281995369e-10,8.661250377600002
ZNF583,False,False,0.9421997016699502,0.9422142295030242,0.09349685152000031
NXPH4,False,False,0.6597074125126259,0.6598027604238355,0.9517191086219992
MAK,False,False,0.40539229165980606,0.40559133101679723,0.7315005632309199
MXD3,True,True,4.0309268621519264e-06,4.553459105854811e-06,3.658473958800002
UCP2,False,False,0.22203582508496467,0.22232422522403933,30.522599930000013
HELB,False,False,0.8694587410969313,0.8694920195175638,0.15222922017999974
CCDC25,False,False,0.14251028173103716,0.1428252979119757,1.1000874356000026
DHPS,False,False,0.2104865084874199,0.2107798822282094,2.364227203999995
PAFAH1B2,True,True,0.03609765408856413,0.036349070309829035,2.888073079999991
SIGLEC7,True,True,2.147931931291622e-37,9.636798986598196e-35,24.735630019995998
CAMLG,False,False,0.48668557278112745,0.48684750890779993,1.5713565659999915
KCNQ2,False,True,0.04985935322812013,0.050137096567589634,3.6101184150075984
COPS6,False,False,0.0684379573333524,0.06873713075202115,11.078509527999984
CHCHD3,False,False,0.7807649039575059,0.7808225568955627,0.715540451999999
GSG2,False,False,0.12223649534456373,0.12255351653714705,1.374691082490001
CLEC4C,False,False,0.27916570194958445,0.27942711013964616,6.4732139860809
FAM216A,False,False,0.22839318185204027,0.22867875097637116,0.8787648459199993
NONO,False,False,0.5895647348627966,0.5896850675817199,2.6744258200000104
OTOG,False,False,0.5744088850786948,0.5745349654096978,0.6072241034651505
SLC25A47,False,False,0.7549488380312164,0.7550140356224248,0.05807937151415202
CHGA,False,False,0.23183138289125738,0.23211539680709856,1.733993759395216
CHM,False,False,0.6810330353243059,0.6811212817168142,0.6056663524000001
GABRB2,False,False,0.26770334292319997,0.2679703764329104,1.3601082749992996
